Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	BBExch	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	UPatrev2d	UEm	ProdWithAsian	Note
Y	3101	10-year US Treasury@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	TYA Comdty	ZN	07:00	07:00	20	Vwap	10	07:10	08:10	CBT	ZN	ECBOT		Y	Y	Y	Y	Y	Y	
Y	3102	Euro Bund@EUX	[001001001001]	1	0.01%	08:00	22:10	8	17:15	RXA Comdty	FGBL	12:00	12:00	20	Vwap	10	07:10	08:10	EUX	GBL	DTB		Y	Y	Y	Y	Y	Y	
Y	3103	5-year US Treasury@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	FVA Comdty	ZF	07:00	07:00	20	Vwap	10	08:10	09:10	CBT	ZF	ECBOT		Y	Y	Y	Y	Y	Y	
Y	3104	Euro Bobl@EUX	[001001001001]	1	0.01%	08:00	22:05	8	17:15	OEA Comdty	FGBM	12:30	09:00	20	Vwap	10	08:20	09:20	EUX	GBM	DTB		Y	Y	Y	Y	Y	N	
Y	3107	Long Gilt@LIF	[001001001001]	1	0.01%	08:00	18:00	8	16:15	G A Comdty	FLG	12:00	12:30	20	Vwap	10	09:10	10:10	LIF	R	ICEEU		Y	Y	Y	Y	Y	N	
Y	3113	10-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	06:00	16:30	8	15:00	CNA Comdty	CGB 	10:30	06:00	20	Vwap	10	08:00	09:00	MSE	CGB	CDE		Y	Y	Y	Y	N	Y	
Y	3115	10-year Italian Govt Bond@EUX	[001001001001]	1	0.01%	08:00	19:06	8	17:15	IKA Comdty	FBTP	12:00	10:30	20	Vwap	10	08:05	09:05	EUX	BTP	DTB		Y	Y	N	Y	N	N	
Y	3116	French Govt Bond@EUX	[001001001001]	1	0.01%	08:00	20:00	8	17:15	OATA Comdty	FOAT	08:05	12:00	20	Vwap	10	07:10	08:10	EUX	OAT	DTB		Y	Y	N	N	N	N	
Y	3119	Euro Buxl@EUX	[001001001001]	1	0.01%	08:00	22:00	8	17:15	UBA Comdty	FGBX	07:00	09:00	20	Vwap	10	09:10	10:10	EUX	GBX	DTB		Y	Y	Y	Y	Y	N	
Y	3201	USD Index@FNX	[001001001001]	1	0.01%	20:00	18:00	8	15:00	DXA Curncy	DX	02:00	02:00	20	Vwap	10	00:20	01:20	FNX	DX	NYBOT		Y	Y	Y	Y	Y	Y	
Y	3202	EUR/GBP@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	RPA Curncy	RP	03:05	03:05	20	Vwap	10	05:10	06:10	CME	RP	GLOBEX	17:00	Y	Y	N	Y	N	N	
Y	3203	EUR/JPY@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	RYA Curncy	RY	19:05	19:05	20	Vwap	10	05:10	06:10	CME	RY	GLOBEX		Y	Y	N	Y	N	N	
Y	3205	JPY/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	JYA Curncy	JY	07:00	10:30	20	Vwap	10	07:10	08:10	CME	JPY	GLOBEX		Y	Y	Y	Y	Y	Y	
Y	3206	EUR/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	ECA Curncy	URO	07:00	00:10	20	Vwap	10	07:10	08:10	CME	EUR	GLOBEX	17:00	Y	Y	Y	Y	Y	Y	
Y	3207	GBP/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	BPA Curncy	BP	07:00	07:00	20	Vwap	10	00:20	01:20	CME	GBP	GLOBEX	17:00	Y	Y	Y	Y	Y	Y	
Y	3208	AUD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	ADA Curncy	AD	18:05	18:05	20	Vwap	10	02:10	05:10	CME	AUD	GLOBEX		Y	Y	Y	Y	Y	Y	
Y	3209	CAD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	CDA Curncy	CD	07:00	09:00	20	Vwap	10	07:10	08:10	CME	CAD	GLOBEX		Y	Y	Y	Y	Y	Y	
Y	3210	MXN/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	PEA Curncy	MP	00:10	10:30	20	Vwap	10	09:10	10:10	CME	MXP	GLOBEX		Y	Y	N	N	N	N	
Y	3211	CHF/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	SFA Curncy	SF	10:30	20:00	20	Vwap	10	07:10	08:10	CME	CHF	GLOBEX	17:00	Y	Y	Y	Y	Y	Y	
Y	3212	NZD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	NVA Curncy	NE	07:00	07:00	20	Vwap	10	02:10	05:10	CME	NZD	GLOBEX		Y	Y	Y	Y	Y	Y	
Y	3501	E-Mini@CME	[001001001001]	1	0.01%	17:00	16:00	8	15:15	ESA Index	ES	07:00	10:30	20	Vwap	10	08:00	09:00	CME	ES	GLOBEX		Y	Y	Y	Y	Y	Y	
Y	3505	Nasdaq 100 E-mini@CME	[001001001001]	1	0.03%	17:00	16:00	8	15:15	NQA Index	NQ	20:00	20:00	20	Vwap	10	08:40	09:40	CME	NQ	GLOBEX		Y	Y	N	N	N	N	
Y	3507	DJ Industrial Average Mini@CBT	[001001001001]	1	0.03%	17:00	16:00	8	15:15	DMA Index	YM	20:00	12:00	20	Vwap	10	08:00	09:00	CBT	YM	ECBOT		Y	Y	N	N	N	N	
Y	3508	CAC 40@EOP	[111111111111]	1	0.03%	08:00	22:00	8	17:35	CFA Index	FCE	12:00	08:00	20	Vwap	10	08:10	09:10	EOP	CAC40	MONEP		Y	Y	N	N	N	N	
Y	3511	DAX Index@EUX	[001001001001]	1	0.03%	08:00	22:05	8	17:30	GXA Index	FDX	12:00	08:00	20	Vwap	10	09:10	10:10	EUX	DAX	DTB		Y	Y	Y	Y	N	Y	
Y	3512	FTSE China A50@SGX	[111111111111]	1	0.03%	09:00	16:35	8	16:30	XUA Index	SFC	10:30	10:30	20	Vwap	10	09:40	10:40	SGX	XINA50	SGX		Y	Y	N	N	N	N	
Y	3513	Nikkei 225@SGX	[001001001001]	1	0.03%	07:30	14:30	8	14:25	NIA Index	SSI	10:30	07:30	20	Vwap	10	07:50	08:50	SGX	N225U	SGX		Y	Y	Y	Y	N	Y	
Y	3514	FTSE 100@LIF	[001001001001]	1	0.03%	01:00	21:00	8	16:30	Z A Index	FFI	01:05	01:05	20	Vwap	10	07:10	08:10	LIF	Z	ICEEU		Y	Y	N	N	Y	N	
Y	3515	Hang Seng@HKG	[111111111111]	1	0.03%	09:15	16:30	8	16:15	HIA Index	HSI	09:20	09:20	20	Vwap	10	09:20	10:20	HKG	HSI	HKFE		Y	Y	Y	Y	N	N	
Y	3516	MSCI Taiwan@SGX	[111111111111]	1	0.03%	08:45	13:50	8	13:45	TWA Index	STW	12:30	12:30	20	Vwap	10	09:00	10:00	SGX	STW	SGX		Y	Y	N	Y	N	N	Vwap failed without rejection during aution period 13:45--13:50 sometimes
Y	3517	Nikkei 225@OSE	[001001001001]	1	0.03%	08:45	15:10	8	15:10	NKA Index	JNI	12:00	07:00	20	Vwap	10	09:20	10:20	OSE	N225	OSE.JPN		Y	Y	N	N	N	Y	
Y	3518	CNX Nifty @SGX	[111111111111]	1	0.03%	09:00	18:15	8	18:10	IHA Index	SIN	12:00	09:00	20	Vwap	10	11:40	12:40	SGX	NIFTY	SGX		Y	Y	N	N	N	N	
Y	3519	Nikkei 225@CME	[001001001001]	1	0.03%	17:00	16:00	8	15:15	NHA Index	NIY	07:00	12:30	20	Vwap	10	18:00	20:00	CME	NIY	GLOBEX		Y	Y	N	Y	N	N	
Y	3525	Nikkei 225@CME	[001001001001]	1	0.03%	17:00	16:00	8	15:15	NXA Index	NK	07:00	12:30	20	Vwap	10	08:20	09:20	CME	NKD	GLOBEX		Y	Y	N	N	N	N	
Y	3530	SP400 E-Mini@CME	[001001001001]	1	0.03%	17:00	16:00	8	15:15	FAA Index	DM	07:00	12:30	20	Vwap	10	08:45	09:45	CME	EMD	GLOBEX	17:00	Y	Y	N	Y	N	N	
